context_length,trial,packing,block_size,d_head,poly_modulus_degree,slots,modulus_chain_bits,global_scale_bits,encrypt_ms,compute_ms,decrypt_ms,serialize_ms,end_to_end_ms,ciphertext_bytes,cache_ciphertexts,query_ciphertexts,score_ciphertexts,ct_ct_mul_ops,slot_sum_ops,mask_mul_ops,score_l2_error,score_linf_error,score_mean_abs_error
8,2,token-wise,1,16,8192,4096,200,40,14.924707889556885,27.90429162979126,2.547040104866028,10.932459115982056,45.37603962421417,3008656.0,8.0,1.0,8.0,8.0,8.0,0.0,3.3131129014020186e-06,1.2339964763907751e-06,1.1704753962803291e-06
8,2,block-wise,2,16,8192,4096,200,40,13.214748620986938,19.606705904006958,1.2710416316986084,10.065416932106018,34.092496156692505,2674730.0,4.0,4.0,8.0,4.0,8.0,8.0,3.657393135966621e-06,1.5797923409999193e-06,1.2574378319126032e-06
8,2,block-wise,4,16,8192,4096,200,40,6.5356669425964355,19.19812572002411,1.2953331470489502,4.772623062133789,27.029125809669495,1337110.0,2.0,2.0,8.0,2.0,8.0,8.0,2.597545599189919e-06,1.1979582313359494e-06,8.508012103070777e-07
8,2,block-wise,8,16,8192,4096,200,40,3.3173329830169678,20.390210151672363,1.32249915599823,2.615749955177307,25.03004229068756,668808.0,1.0,1.0,8.0,1.0,8.0,8.0,2.7526001135669683e-06,1.2361923377723905e-06,9.166356494404214e-07
16,0,token-wise,1,16,8192,4096,200,40,28.042000770568848,55.54754412174225,5.1005412340164185,19.09100079536438,88.69008612632751,5682676.0,16.0,1.0,16.0,16.0,16.0,0.0,4.863343759128001e-06,1.350780503672766e-06,1.2129472567127403e-06
16,0,block-wise,2,16,8192,4096,200,40,26.132081866264343,38.71925175189972,2.5846264362335205,18.984748482704163,67.43596005439758,5349314.0,8.0,8.0,16.0,8.0,16.0,16.0,6.365607925271248e-06,2.2812763511570466e-06,1.5258537146576115e-06
16,0,block-wise,4,16,8192,4096,200,40,13.288290739059448,38.59487688541412,2.58516788482666,9.178001284599304,54.46833550930023,2674415.0,4.0,4.0,16.0,4.0,16.0,16.0,4.7492743100789695e-06,1.8529164302893975e-06,1.108009586417262e-06
16,0,block-wise,8,16,8192,4096,200,40,6.595124125480652,40.53074908256531,2.6170819997787476,4.992168068885803,49.74295520782471,1337378.0,2.0,2.0,16.0,2.0,16.0,16.0,5.06422843202041e-06,1.974424779449535e-06,1.176793491966012e-06
16,1,token-wise,1,16,8192,4096,200,40,28.047537684440613,55.43841779232025,5.049667000770569,20.334038972854614,88.53562247753143,5683970.0,16.0,1.0,16.0,16.0,16.0,0.0,4.703624203571015e-06,1.2738389213451384e-06,1.1750875676635845e-06
16,1,block-wise,2,16,8192,4096,200,40,26.234416723251343,39.02195751667023,2.5375430583953857,17.38041627407074,67.79391729831696,5348192.0,8.0,8.0,16.0,8.0,16.0,16.0,5.2222159877094335e-06,1.8535573935718475e-06,1.2821639346542821e-06
16,1,block-wise,4,16,8192,4096,200,40,13.283291816711426,38.41170680522919,2.555460214614868,8.99729299545288,54.25045883655548,2674108.0,4.0,4.0,16.0,4.0,16.0,16.0,3.4783838212822963e-06,1.4341495393477288e-06,8.37776431549973e-07
16,1,block-wise,8,16,8192,4096,200,40,6.5644590854644775,40.788665413856506,2.5947906970977783,5.105250000953674,49.94791519641876,1337435.0,2.0,2.0,16.0,2.0,16.0,16.0,3.807122672666138e-06,1.3778008591813773e-06,9.233869885871219e-07
16,2,token-wise,1,16,8192,4096,200,40,28.04837429523468,55.6816269159317,5.146581411361694,19.817374229431152,88.87658262252808,5683841.0,16.0,1.0,16.0,16.0,16.0,0.0,4.783534492856335e-06,1.269770772222012e-06,1.1946778589978172e-06
16,2,block-wise,2,16,8192,4096,200,40,26.43524932861328,39.0009605884552,2.5426677465438843,18.289125084877014,67.97887766361237,5348511.0,8.0,8.0,16.0,8.0,16.0,16.0,5.378544345138117e-06,1.6479274509428876e-06,1.3152000020452361e-06
16,2,block-wise,4,16,8192,4096,200,40,13.171707034111023,38.44833517074585,2.5685811042785645,9.346583127975464,54.18862330913544,2674511.0,4.0,4.0,16.0,4.0,16.0,16.0,3.6760472462014305e-06,1.1990794929472859e-06,8.767109679654593e-07
16,2,block-wise,8,16,8192,4096,200,40,6.591126322746277,40.642334938049316,2.5834158658981323,4.515291094779968,49.816877126693726,1336924.0,2.0,2.0,16.0,2.0,16.0,16.0,3.977910147353983e-06,1.2721377137814294e-06,9.482941808409745e-07
32,0,token-wise,1,16,8192,4096,200,40,54.506915807724,111.88470470905304,10.317874312400818,37.54379212856293,176.70949482917786,11030337.0,32.0,1.0,32.0,32.0,32.0,0.0,6.754692207698786e-06,1.3314988855928078e-06,1.1920642959578924e-06
32,0,block-wise,2,16,8192,4096,200,40,53.10149610042572,78.94745373725891,5.129082560539246,36.03600347042084,137.17803239822388,10695482.0,16.0,16.0,32.0,16.0,32.0,32.0,7.985646564262842e-06,2.299069715716584e-06,1.3441981230877253e-06
32,0,block-wise,4,16,8192,4096,200,40,26.781540989875793,77.50383472442627,5.1579543352127075,19.372542023658752,109.44333004951477,5348645.0,8.0,8.0,32.0,8.0,32.0,32.0,5.798454745947989e-06,1.941512227654485e-06,9.233661349946146e-07
32,0,block-wise,8,16,8192,4096,200,40,13.35374903678894,81.91145479679108,5.246083855628967,9.852790832519531,100.51128768920898,2674303.0,4.0,4.0,32.0,4.0,32.0,32.0,6.0375927768617456e-06,1.9617528923543404e-06,9.737101865951118e-07
32,1,token-wise,1,16,8192,4096,200,40,54.78466475009918,112.8687115907669,10.617249608039856,40.1057950258255,178.27062594890594,11032938.0,32.0,1.0,32.0,32.0,32.0,0.0,6.691304807082716e-06,1.285143861995408e-06,1.1821432429191062e-06
32,1,block-wise,2,16,8192,4096,200,40,53.452792286872864,78.86324834823608,5.138915538787842,35.92208516597748,137.4549561738968,10697402.0,16.0,16.0,32.0,16.0,32.0,32.0,7.653268514141177e-06,1.8417785322411007e-06,1.3357659695689068e-06
32,1,block-wise,4,16,8192,4096,200,40,26.582038521766663,77.90175020694733,5.280125260353088,17.30600082874298,109.76391398906708,5347262.0,8.0,8.0,32.0,8.0,32.0,32.0,5.28706891518727e-06,1.4641266365966743e-06,9.077632713985556e-07
32,1,block-wise,8,16,8192,4096,200,40,13.184248805046082,81.95475053787231,5.236204266548157,8.897332072257996,100.37520360946655,2673597.0,4.0,4.0,32.0,4.0,32.0,32.0,5.622596438634197e-06,1.5148454097779762e-06,9.68193280255768e-07
32,2,token-wise,1,16,8192,4096,200,40,54.69841682910919,111.81954216957092,10.212874174118042,37.72408151626587,176.73083317279816,11031314.0,32.0,1.0,32.0,32.0,32.0,0.0,6.7497234153116826e-06,1.291401441450013e-06,1.1921105820830055e-06
32,2,block-wise,2,16,8192,4096,200,40,52.799248933792114,78.1964203119278,5.1103739738464355,37.35741686820984,136.10604321956635,10696804.0,16.0,16.0,32.0,16.0,32.0,32.0,7.979289525409413e-06,1.833179542942709e-06,1.3829662171209215e-06
32,2,block-wise,4,16,8192,4096,200,40,26.367666602134705,77.40666949748993,5.113999128341675,18.311164617538452,108.88833522796631,5349490.0,8.0,8.0,32.0,8.0,32.0,32.0,5.625947908640672e-06,1.4213674276453148e-06,9.58446332296785e-07
32,2,block-wise,8,16,8192,4096,200,40,13.388084173202515,81.73683607578278,5.24408483505249,9.53429090976715,100.36900508403778,2675112.0,4.0,4.0,32.0,4.0,32.0,32.0,5.972592979863868e-06,1.6053587843511963e-06,1.0185636877903156e-06
